codeword,base_2,base_10
0,0000000011111,31
1,1111100000000,7936
2,0000000101111,47
3,1111010000000,7808
4,0000000110111,55
5,1110110000000,7552
6,0000000111011,59
7,1101110000000,7040
8,0000000111101,61
9,1011110000000,6016
10,0000000111110,62
11,0111110000000,3968
12,0000001001111,79
13,1111001000000,7744
14,0000001010111,87
15,1110101000000,7488
16,0000001011011,91
17,1101101000000,6976
18,0000001011101,93
19,1011101000000,5952
20,0000001011110,94
21,0111101000000,3904
22,0000001100111,103
23,1110011000000,7360
24,0000001101011,107
25,1101011000000,6848
26,0000001101101,109
27,1011011000000,5824
28,0000001101110,110
29,0111011000000,3776
30,0000001110011,115
31,1100111000000,6592
32,0000001110101,117
33,1010111000000,5568
34,0000001110110,118
35,0110111000000,3520
36,0000001111001,121
37,1001111000000,5056
38,0000001111010,122
39,0101111000000,3008
40,0000001111100,124
41,0011111000000,1984
42,0000010001111,143
43,1111000100000,7712
44,0000010010111,151
45,1110100100000,7456
46,0000010011011,155
47,1101100100000,6944
48,0000010011101,157
49,1011100100000,5920
50,0000010011110,158
51,0111100100000,3872
52,0000010100111,167
53,1110010100000,7328
54,0000010101011,171
55,1101010100000,6816
56,0000010101101,173
57,1011010100000,5792
58,0000010101110,174
59,0111010100000,3744
60,0000010110011,179
61,1100110100000,6560
62,0000010110101,181
63,1010110100000,5536
64,0000010110110,182
65,0110110100000,3488
66,0000010111001,185
67,1001110100000,5024
68,0000010111010,186
69,0101110100000,2976
70,0000010111100,188
71,0011110100000,1952
72,0000011000111,199
73,1110001100000,7264
74,0000011001011,203
75,1101001100000,6752
76,0000011001101,205
77,1011001100000,5728
78,0000011001110,206
79,0111001100000,3680
80,0000011010011,211
81,1100101100000,6496
82,0000011010101,213
83,1010101100000,5472
84,0000011010110,214
85,0110101100000,3424
86,0000011011001,217
87,1001101100000,4960
88,0000011011010,218
89,0101101100000,2912
90,0000011011100,220
91,0011101100000,1888
92,0000011100011,227
93,1100011100000,6368
94,0000011100101,229
95,1010011100000,5344
96,0000011100110,230
97,0110011100000,3296
98,0000011101001,233
99,1001011100000,4832
100,0000011101010,234
101,0101011100000,2784
102,0000011101100,236
103,0011011100000,1760
104,0000011110001,241
105,1000111100000,4576
106,0000011110010,242
107,0100111100000,2528
108,0000011110100,244
109,0010111100000,1504
110,0000011111000,248
111,0001111100000,992
112,0000100001111,271
113,1111000010000,7696
114,0000100010111,279
115,1110100010000,7440
116,0000100011011,283
117,1101100010000,6928
118,0000100011101,285
119,1011100010000,5904
120,0000100011110,286
121,0111100010000,3856
122,0000100100111,295
123,1110010010000,7312
124,0000100101011,299
125,1101010010000,6800
126,0000100101101,301
127,1011010010000,5776
128,0000100101110,302
129,0111010010000,3728
130,0000100110011,307
131,1100110010000,6544
132,0000100110101,309
133,1010110010000,5520
134,0000100110110,310
135,0110110010000,3472
136,0000100111001,313
137,1001110010000,5008
138,0000100111010,314
139,0101110010000,2960
140,0000100111100,316
141,0011110010000,1936
142,0000101000111,327
143,1110001010000,7248
144,0000101001011,331
145,1101001010000,6736
146,0000101001101,333
147,1011001010000,5712
148,0000101001110,334
149,0111001010000,3664
150,0000101010011,339
151,1100101010000,6480
152,0000101010101,341
153,1010101010000,5456
154,0000101010110,342
155,0110101010000,3408
156,0000101011001,345
157,1001101010000,4944
158,0000101011010,346
159,0101101010000,2896
160,0000101011100,348
161,0011101010000,1872
162,0000101100011,355
163,1100011010000,6352
164,0000101100101,357
165,1010011010000,5328
166,0000101100110,358
167,0110011010000,3280
168,0000101101001,361
169,1001011010000,4816
170,0000101101010,362
171,0101011010000,2768
172,0000101101100,364
173,0011011010000,1744
174,0000101110001,369
175,1000111010000,4560
176,0000101110010,370
177,0100111010000,2512
178,0000101110100,372
179,0010111010000,1488
180,0000101111000,376
181,0001111010000,976
182,0000110000111,391
183,1110000110000,7216
184,0000110001011,395
185,1101000110000,6704
186,0000110001101,397
187,1011000110000,5680
188,0000110001110,398
189,0111000110000,3632
190,0000110010011,403
191,1100100110000,6448
192,0000110010101,405
193,1010100110000,5424
194,0000110010110,406
195,0110100110000,3376
196,0000110011001,409
197,1001100110000,4912
198,0000110011010,410
199,0101100110000,2864
200,0000110011100,412
201,0011100110000,1840
202,0000110100011,419
203,1100010110000,6320
204,0000110100101,421
205,1010010110000,5296
206,0000110100110,422
207,0110010110000,3248
208,0000110101001,425
209,1001010110000,4784
210,0000110101010,426
211,0101010110000,2736
212,0000110101100,428
213,0011010110000,1712
214,0000110110001,433
215,1000110110000,4528
216,0000110110010,434
217,0100110110000,2480
218,0000110110100,436
219,0010110110000,1456
220,0000110111000,440
221,0001110110000,944
222,0000111000011,451
223,1100001110000,6256
224,0000111000101,453
225,1010001110000,5232
226,0000111000110,454
227,0110001110000,3184
228,0000111001001,457
229,1001001110000,4720
230,0000111001010,458
231,0101001110000,2672
232,0000111001100,460
233,0011001110000,1648
234,0000111010001,465
235,1000101110000,4464
236,0000111010010,466
237,0100101110000,2416
238,0000111010100,468
239,0010101110000,1392
240,0000111011000,472
241,0001101110000,880
242,0000111100001,481
243,1000011110000,4336
244,0000111100010,482
245,0100011110000,2288
246,0000111100100,484
247,0010011110000,1264
248,0000111101000,488
249,0001011110000,752
250,0001000001111,527
251,1111000001000,7688
252,0001000010111,535
253,1110100001000,7432
254,0001000011011,539
255,1101100001000,6920
256,0001000011101,541
257,1011100001000,5896
258,0001000011110,542
259,0111100001000,3848
260,0001000100111,551
261,1110010001000,7304
262,0001000101011,555
263,1101010001000,6792
264,0001000101101,557
265,1011010001000,5768
266,0001000101110,558
267,0111010001000,3720
268,0001000110011,563
269,1100110001000,6536
270,0001000110101,565
271,1010110001000,5512
272,0001000110110,566
273,0110110001000,3464
274,0001000111001,569
275,1001110001000,5000
276,0001000111010,570
277,0101110001000,2952
278,0001000111100,572
279,0011110001000,1928
280,0001001000111,583
281,1110001001000,7240
282,0001001001011,587
283,1101001001000,6728
284,0001001001101,589
285,1011001001000,5704
286,0001001001110,590
287,0111001001000,3656
288,0001001010011,595
289,1100101001000,6472
290,0001001010101,597
291,1010101001000,5448
292,0001001010110,598
293,0110101001000,3400
294,0001001011001,601
295,1001101001000,4936
296,0001001011010,602
297,0101101001000,2888
298,0001001011100,604
299,0011101001000,1864
300,0001001100011,611
301,1100011001000,6344
302,0001001100101,613
303,1010011001000,5320
304,0001001100110,614
305,0110011001000,3272
306,0001001101001,617
307,1001011001000,4808
308,0001001101010,618
309,0101011001000,2760
310,0001001101100,620
311,0011011001000,1736
312,0001001110001,625
313,1000111001000,4552
314,0001001110010,626
315,0100111001000,2504
316,0001001110100,628
317,0010111001000,1480
318,0001001111000,632
319,0001111001000,968
320,0001010000111,647
321,1110000101000,7208
322,0001010001011,651
323,1101000101000,6696
324,0001010001101,653
325,1011000101000,5672
326,0001010001110,654
327,0111000101000,3624
328,0001010010011,659
329,1100100101000,6440
330,0001010010101,661
331,1010100101000,5416
332,0001010010110,662
333,0110100101000,3368
334,0001010011001,665
335,1001100101000,4904
336,0001010011010,666
337,0101100101000,2856
338,0001010011100,668
339,0011100101000,1832
340,0001010100011,675
341,1100010101000,6312
342,0001010100101,677
343,1010010101000,5288
344,0001010100110,678
345,0110010101000,3240
346,0001010101001,681
347,1001010101000,4776
348,0001010101010,682
349,0101010101000,2728
350,0001010101100,684
351,0011010101000,1704
352,0001010110001,689
353,1000110101000,4520
354,0001010110010,690
355,0100110101000,2472
356,0001010110100,692
357,0010110101000,1448
358,0001010111000,696
359,0001110101000,936
360,0001011000011,707
361,1100001101000,6248
362,0001011000101,709
363,1010001101000,5224
364,0001011000110,710
365,0110001101000,3176
366,0001011001001,713
367,1001001101000,4712
368,0001011001010,714
369,0101001101000,2664
370,0001011001100,716
371,0011001101000,1640
372,0001011010001,721
373,1000101101000,4456
374,0001011010010,722
375,0100101101000,2408
376,0001011010100,724
377,0010101101000,1384
378,0001011011000,728
379,0001101101000,872
380,0001011100001,737
381,1000011101000,4328
382,0001011100010,738
383,0100011101000,2280
384,0001011100100,740
385,0010011101000,1256
386,0001100000111,775
387,1110000011000,7192
388,0001100001011,779
389,1101000011000,6680
390,0001100001101,781
391,1011000011000,5656
392,0001100001110,782
393,0111000011000,3608
394,0001100010011,787
395,1100100011000,6424
396,0001100010101,789
397,1010100011000,5400
398,0001100010110,790
399,0110100011000,3352
400,0001100011001,793
401,1001100011000,4888
402,0001100011010,794
403,0101100011000,2840
404,0001100011100,796
405,0011100011000,1816
406,0001100100011,803
407,1100010011000,6296
408,0001100100101,805
409,1010010011000,5272
410,0001100100110,806
411,0110010011000,3224
412,0001100101001,809
413,1001010011000,4760
414,0001100101010,810
415,0101010011000,2712
416,0001100101100,812
417,0011010011000,1688
418,0001100110001,817
419,1000110011000,4504
420,0001100110010,818
421,0100110011000,2456
422,0001100110100,820
423,0010110011000,1432
424,0001100111000,824
425,0001110011000,920
426,0001101000011,835
427,1100001011000,6232
428,0001101000101,837
429,1010001011000,5208
430,0001101000110,838
431,0110001011000,3160
432,0001101001001,841
433,1001001011000,4696
434,0001101001010,842
435,0101001011000,2648
436,0001101001100,844
437,0011001011000,1624
438,0001101010001,849
439,1000101011000,4440
440,0001101010010,850
441,0100101011000,2392
442,0001101010100,852
443,0010101011000,1368
444,0001101100001,865
445,1000011011000,4312
446,0001101100010,866
447,0100011011000,2264
448,0001101100100,868
449,0010011011000,1240
450,0001110000011,899
451,1100000111000,6200
452,0001110000101,901
453,1010000111000,5176
454,0001110000110,902
455,0110000111000,3128
456,0001110001001,905
457,1001000111000,4664
458,0001110001010,906
459,0101000111000,2616
460,0001110001100,908
461,0011000111000,1592
462,0001110010001,913
463,1000100111000,4408
464,0001110010010,914
465,0100100111000,2360
466,0001110010100,916
467,0010100111000,1336
468,0001110100001,929
469,1000010111000,4280
470,0001110100010,930
471,0100010111000,2232
472,0001110100100,932
473,0010010111000,1208
474,0001111000001,961
475,1000001111000,4216
476,0001111000010,962
477,0100001111000,2168
478,0001111000100,964
479,0010001111000,1144
480,0010000001111,1039
481,1111000000100,7684
482,0010000010111,1047
483,1110100000100,7428
484,0010000011011,1051
485,1101100000100,6916
486,0010000011101,1053
487,1011100000100,5892
488,0010000011110,1054
489,0111100000100,3844
490,0010000100111,1063
491,1110010000100,7300
492,0010000101011,1067
493,1101010000100,6788
494,0010000101101,1069
495,1011010000100,5764
496,0010000101110,1070
497,0111010000100,3716
498,0010000110011,1075
499,1100110000100,6532
500,0010000110101,1077
501,1010110000100,5508
502,0010000110110,1078
503,0110110000100,3460
504,0010000111001,1081
505,1001110000100,4996
506,0010000111010,1082
507,0101110000100,2948
508,0010000111100,1084
509,0011110000100,1924
510,0010001000111,1095
511,1110001000100,7236
512,0010001001011,1099
513,1101001000100,6724
514,0010001001101,1101
515,1011001000100,5700
516,0010001001110,1102
517,0111001000100,3652
518,0010001010011,1107
519,1100101000100,6468
520,0010001010101,1109
521,1010101000100,5444
522,0010001010110,1110
523,0110101000100,3396
524,0010001011001,1113
525,1001101000100,4932
526,0010001011010,1114
527,0101101000100,2884
528,0010001011100,1116
529,0011101000100,1860
530,0010001100011,1123
531,1100011000100,6340
532,0010001100101,1125
533,1010011000100,5316
534,0010001100110,1126
535,0110011000100,3268
536,0010001101001,1129
537,1001011000100,4804
538,0010001101010,1130
539,0101011000100,2756
540,0010001101100,1132
541,0011011000100,1732
542,0010001110001,1137
543,1000111000100,4548
544,0010001110010,1138
545,0100111000100,2500
546,0010001110100,1140
547,0010111000100,1476
548,0010010000111,1159
549,1110000100100,7204
550,0010010001011,1163
551,1101000100100,6692
552,0010010001101,1165
553,1011000100100,5668
554,0010010001110,1166
555,0111000100100,3620
556,0010010010011,1171
557,1100100100100,6436
558,0010010010101,1173
559,1010100100100,5412
560,0010010010110,1174
561,0110100100100,3364
562,0010010011001,1177
563,1001100100100,4900
564,0010010011010,1178
565,0101100100100,2852
566,0010010011100,1180
567,0011100100100,1828
568,0010010100011,1187
569,1100010100100,6308
570,0010010100101,1189
571,1010010100100,5284
572,0010010100110,1190
573,0110010100100,3236
574,0010010101001,1193
575,1001010100100,4772
576,0010010101010,1194
577,0101010100100,2724
578,0010010101100,1196
579,0011010100100,1700
580,0010010110001,1201
581,1000110100100,4516
582,0010010110010,1202
583,0100110100100,2468
584,0010010110100,1204
585,0010110100100,1444
586,0010011000011,1219
587,1100001100100,6244
588,0010011000101,1221
589,1010001100100,5220
590,0010011000110,1222
591,0110001100100,3172
592,0010011001001,1225
593,1001001100100,4708
594,0010011001010,1226
595,0101001100100,2660
596,0010011001100,1228
597,0011001100100,1636
598,0010011010001,1233
599,1000101100100,4452
600,0010011010010,1234
601,0100101100100,2404
602,0010011010100,1236
603,0010101100100,1380
604,0010011100001,1249
605,1000011100100,4324
606,0010011100010,1250
607,0100011100100,2276
608,0010100000111,1287
609,1110000010100,7188
610,0010100001011,1291
611,1101000010100,6676
612,0010100001101,1293
613,1011000010100,5652
614,0010100001110,1294
615,0111000010100,3604
616,0010100010011,1299
617,1100100010100,6420
618,0010100010101,1301
619,1010100010100,5396
620,0010100010110,1302
621,0110100010100,3348
622,0010100011001,1305
623,1001100010100,4884
624,0010100011010,1306
625,0101100010100,2836
626,0010100011100,1308
627,0011100010100,1812
628,0010100100011,1315
629,1100010010100,6292
630,0010100100101,1317
631,1010010010100,5268
632,0010100100110,1318
633,0110010010100,3220
634,0010100101001,1321
635,1001010010100,4756
636,0010100101010,1322
637,0101010010100,2708
638,0010100101100,1324
639,0011010010100,1684
640,0010100110001,1329
641,1000110010100,4500
642,0010100110010,1330
643,0100110010100,2452
644,0010100110100,1332
645,0010110010100,1428
646,0010101000011,1347
647,1100001010100,6228
648,0010101000101,1349
649,1010001010100,5204
650,0010101000110,1350
651,0110001010100,3156
652,0010101001001,1353
653,1001001010100,4692
654,0010101001010,1354
655,0101001010100,2644
656,0010101001100,1356
657,0011001010100,1620
658,0010101010001,1361
659,1000101010100,4436
660,0010101010010,1362
661,0100101010100,2388
662,0010101100001,1377
663,1000011010100,4308
664,0010101100010,1378
665,0100011010100,2260
666,0010110000011,1411
667,1100000110100,6196
668,0010110000101,1413
669,1010000110100,5172
670,0010110000110,1414
671,0110000110100,3124
672,0010110001001,1417
673,1001000110100,4660
674,0010110001010,1418
675,0101000110100,2612
676,0010110001100,1420
677,0011000110100,1588
678,0010110010001,1425
679,1000100110100,4404
680,0010110010010,1426
681,0100100110100,2356
682,0010110100001,1441
683,1000010110100,4276
684,0010110100010,1442
685,0100010110100,2228
686,0010111000001,1473
687,1000001110100,4212
688,0010111000010,1474
689,0100001110100,2164
690,0011000000111,1543
691,1110000001100,7180
692,0011000001011,1547
693,1101000001100,6668
694,0011000001101,1549
695,1011000001100,5644
696,0011000001110,1550
697,0111000001100,3596
698,0011000010011,1555
699,1100100001100,6412
700,0011000010101,1557
701,1010100001100,5388
702,0011000010110,1558
703,0110100001100,3340
704,0011000011001,1561
705,1001100001100,4876
706,0011000011010,1562
707,0101100001100,2828
708,0011000011100,1564
709,0011100001100,1804
710,0011000100011,1571
711,1100010001100,6284
712,0011000100101,1573
713,1010010001100,5260
714,0011000100110,1574
715,0110010001100,3212
716,0011000101001,1577
717,1001010001100,4748
718,0011000101010,1578
719,0101010001100,2700
720,0011000101100,1580
721,0011010001100,1676
722,0011000110001,1585
723,1000110001100,4492
724,0011000110010,1586
725,0100110001100,2444
726,0011001000011,1603
727,1100001001100,6220
728,0011001000101,1605
729,1010001001100,5196
730,0011001000110,1606
731,0110001001100,3148
732,0011001001001,1609
733,1001001001100,4684
734,0011001001010,1610
735,0101001001100,2636
736,0011001010001,1617
737,1000101001100,4428
738,0011001010010,1618
739,0100101001100,2380
740,0011001100001,1633
741,1000011001100,4300
742,0011001100010,1634
743,0100011001100,2252
744,0011010000011,1667
745,1100000101100,6188
746,0011010000101,1669
747,1010000101100,5164
748,0011010000110,1670
749,0110000101100,3116
750,0011010001001,1673
751,1001000101100,4652
752,0011010001010,1674
753,0101000101100,2604
754,0011010010001,1681
755,1000100101100,4396
756,0011010010010,1682
757,0100100101100,2348
758,0011010100001,1697
759,1000010101100,4268
760,0011010100010,1698
761,0100010101100,2220
762,0011011000001,1729
763,1000001101100,4204
764,0011011000010,1730
765,0100001101100,2156
766,0011100000011,1795
767,1100000011100,6172
768,0011100000101,1797
769,1010000011100,5148
770,0011100000110,1798
771,0110000011100,3100
772,0011100001001,1801
773,1001000011100,4636
774,0011100001010,1802
